timestamp,memory_available_kb,memory_free_kb,memory_used_kb,swap_used_kb,swap_total_kb,page_faults_per_sec,swap_in_per_sec,swap_out_per_sec,cpu_usage_percent,disk_read_bytes_per_sec,disk_write_bytes_per_sec,psi_some_avg10,psi_some_avg60,psi_full_avg10,psi_full_avg60
2026-09-15T09:21:37.363,3351984,3299948,658628,0,2097152,12651.72,0,0,2.22,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:38.371,3351984,3299948,658628,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:39.379,3303736,3251700,706876,0,2097152,12683.05,0,0,2.23,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:40.408,3303600,3251564,707012,0,2097152,6.8,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:41.425,3279476,3227440,731136,0,2097152,5937.93,0,0,0.98,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:42.429,3255216,3203180,755396,0,2097152,6736.9,0,0,1.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:43.432,3254720,3202796,755892,0,2097152,0,0,0,0.0,0,40841.45,0.0,0.0,0.0,0.0
2026-09-15T09:21:44.439,3198272,3146348,812340,0,2097152,12711.67,0,0,2.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:43.039,3198272,3146348,812340,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:44.061,3149888,3097964,860724,0,2097152,12525.19,0,0,2.7,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:45.073,3149888,3097964,860724,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:46.135,3093440,3041516,917172,0,2097152,12057.29,0,0,2.36,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:47.138,3093552,3041516,917060,0,2097152,0,0,0,0.0,0,24497.85,0.0,0.0,0.0,0.0
2026-09-15T09:21:48.162,3045168,2993132,965444,0,2097152,12507.11,0,0,2.68,0,20009.81,0.0,0.0,0.0,0.0
2026-09-15T09:21:49.223,3045168,2993132,965444,0,2097152,0.94,0,0,0.47,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:50.278,2996792,2944748,1013820,0,2097152,12130.47,0,0,2.38,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:51.314,2996792,2944748,1013820,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:52.352,2932280,2880236,1078332,0,2097152,12338.58,0,0,2.9,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:53.372,2932280,2880236,1078332,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:54.420,2883896,2831852,1126716,0,2097152,12219.0,0,0,2.39,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:55.423,2883896,2831852,1126716,0,2097152,1.0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:56.439,2835512,2783468,1175100,0,2097152,12603.19,0,0,1.98,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:57.453,2835512,2783468,1175100,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:58.469,2779064,2727020,1231548,0,2097152,12606.26,0,0,2.7,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:21:59.480,2779064,2727020,1231548,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:00.493,2730680,2678636,1279932,0,2097152,12632.9,0,0,1.98,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:01.500,2730680,2678636,1279932,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:02.508,2682296,2630252,1328316,0,2097152,12705.34,0,0,2.23,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:03.512,2682296,2630252,1328316,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:04.515,2625848,2573804,1384764,0,2097152,12759.16,0,0,2.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:05.567,2625848,2573804,1384764,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:06.584,2577464,2525420,1433148,0,2097152,12586.44,0,0,2.7,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:07.599,2577464,2525420,1433148,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:08.609,2529080,2477036,1481532,0,2097152,12683.28,0,0,2.23,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:09.618,2529080,2477036,1481532,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:10.625,2480764,2428720,1529848,0,2097152,12128.61,0,0,2.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:11.629,2472632,2420588,1537980,0,2097152,582.63,0,0,0.5,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:12.640,2472520,2420588,1538092,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:13.690,2424136,2372204,1586476,0,2097152,12197.3,0,0,2.61,0,42931.14,0.0,0.0,0.0,0.0
2026-09-15T09:22:14.693,2424136,2372204,1586476,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:13.213,2355148,2293832,1655464,0,2097152,0,0,0,14.99,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:14.250,2351732,2286564,1658880,0,2097152,873.1,0,0,4.31,3682904.69,3951.61,0.0,0.0,0.0,0.0
2026-09-15T09:22:15.254,2299176,2233872,1711436,0,2097152,13895.4,0,0,2.99,130568.32,12240.78,0.0,0.0,0.0,0.0
2026-09-15T09:22:16.258,2306300,2241000,1704312,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:17.262,2261200,2195892,1749412,0,2097152,12763.74,0,0,1.76,0,97903.13,0.0,0.0,0.0,0.0
2026-09-15T09:22:18.272,2261200,2195892,1749412,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:19.276,2217752,2152444,1792860,0,2097152,12750.34,0,0,2.49,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:20.281,2219752,2154444,1790860,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:21.285,2163444,2098136,1847168,0,2097152,12749.2,0,0,2.74,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:22.308,2163444,2098136,1847168,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:23.312,2115060,2049752,1895552,0,2097152,12740.28,0,0,2.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:24.328,2115060,2049752,1895552,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:25.332,2058612,1993304,1952000,0,2097152,12758.24,0,0,2.73,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:26.336,2058612,1993304,1952000,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:27.342,2010228,1944920,2000384,0,2097152,12718.41,0,0,1.99,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:28.345,2010228,1944920,2000384,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:29.350,1961844,1896536,2048768,0,2097152,12742.52,0,0,2.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:30.370,1961844,1896536,2048768,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:31.386,1905456,1840148,2105156,0,2097152,12591.03,0,0,2.22,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:32.389,1905396,1840088,2105216,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:33.398,1905396,1840088,2105216,0,2097152,876.05,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:34.406,1857104,1791796,2153508,0,2097152,11823.72,0,0,2.23,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:35.411,1859180,1793872,2151432,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:36.428,1810796,1745488,2199816,0,2097152,12597.56,0,0,2.46,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:37.439,1811476,1746168,2199136,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:38.451,1746852,1681656,2263760,0,2097152,12646.43,0,0,2.97,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:39.469,1746852,1681656,2263760,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:40.486,1698580,1633272,2312032,0,2097152,12587.44,0,0,2.71,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:41.498,1698580,1633272,2312032,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:42.511,1650196,1584888,2360416,0,2097152,12640.96,0,0,2.47,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:43.521,1650196,1584888,2360416,0,2097152,0,0,0,0.25,0,125741.55,0.0,0.0,0.0,0.0
2026-09-15T09:22:44.528,1593748,1528440,2416864,0,2097152,12708.88,0,0,1.74,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:43.068,1594044,1528736,2416568,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:44.096,1545724,1480416,2464888,0,2097152,12444.89,0,0,2.19,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:45.154,1545724,1480416,2464888,0,2097152,0,0,0,0.0,0,69725.35,0.0,0.0,0.0,0.0
2026-09-15T09:22:46.164,1497340,1432032,2513272,0,2097152,12675.93,0,0,2.23,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:47.171,1497340,1432032,2513272,0,2097152,0,0,0,0.0,0,24395.02,0.0,0.0,0.0,0.0
2026-09-15T09:22:48.174,1440892,1375584,2569720,0,2097152,12758.47,0,0,2.99,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:49.185,1440892,1375584,2569720,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:50.200,1392508,1327200,2618104,0,2097152,12610.34,0,0,2.22,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:51.203,1392508,1327200,2618104,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:52.211,1384516,1319208,2626096,0,2097152,1512.16,0,0,0.5,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:53.215,1344124,1278816,2666488,0,2097152,11225.61,0,0,2.23,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:54.218,1344124,1278816,2666488,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:55.237,1287676,1222368,2722936,0,2097152,12567.4,0,0,2.46,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:56.253,1287676,1222368,2722936,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:57.264,1239292,1173984,2771320,0,2097152,12659.27,0,0,2.22,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:58.270,1239292,1173984,2771320,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:22:59.281,1170488,1105168,2840124,0,2097152,15990.81,0,0,2.98,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:00.283,1170488,1105168,2840124,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:01.287,1122356,1057036,2888256,0,2097152,12748.53,0,0,1.99,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:02.290,1122356,1057036,2888256,0,2097152,7.98,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:03.310,1074224,1008904,2936388,0,2097152,12556.49,0,0,2.21,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:04.327,1074224,1008904,2936388,0,2097152,0,0,0,0.25,0,32204.9,0.0,0.0,0.0,0.0
2026-09-15T09:23:05.369,1025848,960520,2984764,0,2097152,12292.59,0,0,2.64,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:06.413,1025388,960060,2985224,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:07.423,968928,903712,3041684,0,2097152,12673.61,0,0,2.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:08.432,969104,903712,3041508,0,2097152,183.3,0,0,0.74,64932.84,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:09.446,921728,856336,3088884,0,2097152,12632.18,0,0,2.48,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:10.496,921728,856336,3088884,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:11.531,921728,856336,3088884,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:12.564,921728,856336,3088884,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:13.596,921736,856336,3088876,0,2097152,0,0,0,0.0,0,59547.8,0.0,0.0,0.0,0.0
2026-09-15T09:23:14.654,921736,856336,3088876,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:13.211,922848,857448,3087764,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:14.215,927300,861900,3083312,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:15.267,927980,862580,3082632,0,2097152,0,0,0,0.24,0,35023.41,0.0,0.0,0.0,0.0
2026-09-15T09:23:16.294,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:17.355,927980,862580,3082632,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:18.372,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:19.375,927980,862580,3082632,0,2097152,0,0,0,0.0,0,20409.14,0.0,0.0,0.0,0.0
2026-09-15T09:23:20.379,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:21.385,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:22.397,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:23.404,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:24.426,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:25.439,927980,862580,3082632,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:26.448,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:27.453,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:28.459,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:29.535,927980,862580,3082632,0,2097152,0,0,0,0.46,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:30.560,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:31.588,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:32.595,927980,862580,3082632,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:33.614,928228,862932,3082384,0,2097152,0,0,0,0.49,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:34.618,928228,862932,3082384,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:35.637,928100,862804,3082512,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:36.645,928228,862932,3082384,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:37.683,928228,862932,3082384,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:38.688,1182344,1117048,2828268,0,2097152,1.99,0,0,0.75,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:39.714,3493068,3427772,517544,0,2097152,51.66,0,0,7.32,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:40.744,3362092,3296796,648520,0,2097152,0,0,0,0.49,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:41.766,3493164,3427868,517448,0,2097152,0,0,0,0.49,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:42.805,3362092,3296796,648520,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:43.815,3493164,3427868,517448,0,2097152,0.99,0,0,0.5,0,44633.8,0.0,0.0,0.0,0.0
2026-09-15T09:23:44.823,3493164,3427868,517448,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:43.290,3493164,3427868,517448,0,2097152,0,0,0,0.49,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:44.327,3493164,3427868,517448,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:45.343,3493164,3427868,517448,0,2097152,0,0,0,0.5,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:46.379,3493164,3427868,517448,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:47.385,3493164,3427868,517448,0,2097152,0,0,0,0.5,0,4069.36,0.0,0.0,0.0,0.0
2026-09-15T09:23:48.417,3493164,3427868,517448,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:49.445,3493172,3427868,517440,0,2097152,0.97,0,0,0.74,0,79712.76,0.0,0.0,0.0,0.0
2026-09-15T09:23:50.470,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:51.493,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:52.514,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:53.532,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:54.550,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:55.565,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:56.575,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:57.583,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:58.589,3493172,3427868,517440,0,2097152,214.79,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:23:59.597,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:00.626,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:01.654,3493172,3427868,517440,0,2097152,0,0,0,0.48,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:02.658,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:03.687,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:04.712,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:05.733,3493172,3427868,517440,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:06.760,3493172,3427868,517440,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:07.769,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:08.775,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:09.778,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:10.790,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:11.819,3493172,3427868,517440,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:12.848,3493172,3427868,517440,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:13.851,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:14.908,3493172,3427868,517440,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:13.456,3493172,3427868,517440,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:14.466,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:15.473,3493172,3427868,517440,0,2097152,0,0,0,0.25,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:16.475,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:17.487,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,8098.97,0.0,0.0,0.0,0.0
2026-09-15T09:24:18.540,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,15554.84,0.0,0.0,0.0,0.0
2026-09-15T09:24:19.558,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:20.588,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:21.639,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:22.646,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:23.673,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:24.715,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:25.779,3493172,3427868,517440,0,2097152,0,0,0,0.23,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:26.827,3493172,3427868,517440,0,2097152,0,0,0,0.24,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:27.871,3493172,3427868,517440,0,2097152,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0
2026-09-15T09:24:28.882,3498304,3432976,512308,0,2097152,0,0,0,1.48,0,0,0.0,0.0,0.0,0.0
